W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021-06-07,0,1,6.0,1,0,3.0,4,2,2,0,1,1,1.67
2021-06-12,1,0,2.25,1,0,5.0,4,0,0,0,0,6,1.13
2021-06-20,0,1,1.5,1,0,4.0,0,1,0,0,3,7,1.0
2021-06-26,1,0,1.5,1,0,6.0,4,2,1,0,2,11,1.0
2021-07-04,0,0,2.25,1,0,6.0,5,3,3,1,1,6,1.0
2021-07-17,0,0,1.93,1,0,4.0,2,2,0,0,2,2,1.0
2021-07-23,0,1,2.45,1,0,5.0,6,3,3,1,1,3,1.06
2021-07-30,0,1,2.33,1,0,5.2,3,1,1,1,4,5,1.09
2021-08-04,0,0,2.53,1,0,4.0,3,3,2,0,2,2,1.1
2021-08-09,0,1,3.09,1,0,4.0,4,4,4,1,4,2,1.18
2021-08-14,0,0,2.91,1,0,6.0,4,1,1,0,0,3,1.12
2021-08-21,0,0,2.97,1,0,5.0,3,2,2,1,1,3,1.09
2021-08-27,0,1,3.16,1,0,5.0,6,5,3,1,1,1,1.12
2021-09-03,0,0,3.11,0,0,1.0,1,0,0,0,1,1,1.13
2021-09-05,0,0,3.06,0,0,1.0,1,0,0,0,0,0,1.13
2021-09-07,0,0,3.03,0,0,0.2,0,0,0,0,0,0,1.12
2021-09-10,0,0,2.96,0,0,1.2,3,1,0,0,1,2,1.15
2021-09-14,0,0,2.93,0,0,0.2,0,0,0,0,0,1,1.14
2021-09-17,0,0,2.88,0,0,1.0,1,0,0,0,0,1,1.14
2021-09-20,0,0,2.97,0,0,1.0,1,1,1,0,1,1,1.15
2021-09-22,0,0,3.34,0,0,0.1,4,3,3,0,1,0,1.21
2021-09-24,0,0,3.3,0,0,1.0,0,0,0,0,1,2,1.21
2021-09-28,0,1,3.38,1,0,1.0,3,1,1,0,0,3,1.24
2021-09-29,0,0,3.33,0,0,1.0,1,0,0,0,0,0,1.23
2021-10-01,0,0,3.28,0,0,1.0,0,0,0,0,1,2,1.23
2021-10-03,1,0,3.24,0,0,1.0,0,0,0,0,0,1,1.21
